Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2014-12-30,6.17546272277832,10.510000228881836,0.0,10.670000076293944,10.40999984741211,10.4399995803833,0.0,104100,Tuesday,12,2014,4,6.307142462049212,6.394765853881836,0.09837700707423358,-0.0037901849954581346,0.7851417429672324,38.4530450154508,0.011187553405761719,6.359165835380554,7.250870327817051,5.467461342944057
2014-12-31,6.104952335357666,10.390000343322754,0.0,10.670000076293944,10.300000190734863,10.670000076293944,0.0,57800,Wednesday,12,2014,4,6.283614362989153,6.347060430617559,0.12494552332965579,-0.011417830628395742,0.7761771275267491,44.78036724809142,-0.16469669342041016,6.3169777393341064,7.1702514028133795,5.463704075854833
2015-01-02,6.05206823348999,10.300000190734863,0.0,10.5,10.039999961853027,10.5,0.0,235300,Friday,1,2015,1,6.2383149691990445,6.304363000960577,0.1446829456992466,-0.008662492180551595,0.7694534992288256,48.1116557164088,-0.3170957565307617,6.270096778869629,7.069049112581902,5.471144445157356
2015-01-05,5.828789234161377,9.920000076293944,0.0,10.31999969482422,9.850000381469728,10.289999961853027,0.0,203500,Monday,1,2015,1,6.160282271248954,6.249082133883522,0.19663790380727103,-0.03689300759913228,0.7410660454345975,49.78982686129148,-0.5462288856506348,6.210880875587463,6.951378603022927,5.470383148152
2015-01-06,5.822913646697998,9.90999984741211,0.0,10.050000190734863,9.81999969482422,9.970000267028809,0.0,1631400,Tuesday,1,2015,1,6.071374825068882,6.192406245640346,0.18675699347598743,-0.001008028807928607,0.7403190295122217,59.31599138295149,-0.622352123260498,6.156054282188416,6.835517819283379,5.476590745093453
2015-01-07,5.858166217803955,9.970000267028809,0.0,10.050000190734863,9.8100004196167,9.920000076293944,0.0,843900,Wednesday,1,2015,1,6.00590147290911,6.141869136265346,0.1656518677026968,0.00605411195234673,0.7448010037973414,57.53180395805004,-0.4583134651184082,6.102990317344665,6.691045319141735,5.5149353155475955
2015-01-08,5.905173778533936,10.050000190734863,0.0,10.15999984741211,9.93000030517578,9.989999771118164,0.0,132700,Thursday,1,2015,1,5.9639323098318915,6.093570482163202,0.14444644319871885,0.008024279097291087,0.7507774949237538,49.93853391987896,-0.29378414154052646,6.062228727340698,6.578753733245749,5.545703721435647
2015-01-09,6.040318012237549,10.279999732971191,0.0,10.31999969482422,9.979999542236328,10.06999969482422,0.0,676600,Friday,1,2015,1,5.944625922611782,6.061185359954834,0.11808835218797895,0.022885733557051147,0.7679595886332091,44.46988717129209,-0.13514471054077148,6.048420643806457,6.550901678965552,5.5459396086473625
2015-01-12,6.08144998550415,10.350000381469728,0.0,10.600000381469728,10.199999809265137,10.31999969482422,0.0,680700,Monday,1,2015,1,5.941268444061279,6.049993469601586,0.11299447660669414,0.006809570817839283,0.7731890638372457,41.093321514389444,-0.023502349853515625,6.046328377723694,6.547844253833352,5.544812501614036
2015-01-13,6.110828876495361,10.399999618530272,0.0,10.449999809265137,10.15999984741211,10.359999656677246,0.0,421300,Tuesday,1,2015,1,5.949662821633475,6.049399830046154,0.12422251429574467,0.004830902344217014,0.77692426469826,36.90474463952323,0.058760643005371094,6.060047340393067,6.552315634895999,5.567779045890134
